Subject,Condition,Age,Gender,Race,MFQ_Self_1,MFQ_Self_2,MFQ_Self_3,MFQ_Self_4,MFQ_Self_5,MFQ_Self_Check1,MFQ_Self_7,MFQ_Self_8,MFQ_Self_9,MFQ_Self_10,MFQ_Self_11,MFQ_Self_12,MFQ_Self_13,MFQ_Self_15,MFQ_Self_16,MFQ_Self_17,MFQ_Self_Check2,MFQ_Self_19,MFQ_Self_20,MFQ_Self_21,MFQ_Self_22,MFQ_Self_23,Issue_agreement,Issue_Cand,Issue_Discrim,Issue_Weed,Issue_PB,Identification,Ident_Cand,Ident_Discrim,Ident_Weed,Ident_PB,ManCheck,Check_Cand,Check_Discrim,Check_Weed,Check_PB,MFQ_Targ_1,MFQ_Targ_2,MFQ_Targ_3,MFQ_Targ_4,MFQ_Targ_5,MFQ_Targ_Check1,MFQ_Targ_7,MFQ_Targ_8,MFQ_Targ_9,MFQ_Targ_10,MFQ_Targ_11,MFQ_Targ_12,MFQ_Targ_13,MFQ_Targ_15,MFQ_Targ_16,MFQ_Targ_17,MFQ_Targ_Check2,MFQ_Targ_19,MFQ_Targ_20,MFQ_Targ_21,MFQ_Targ_22,MFQ_Targ_23
1,4,19,1,3,6,6,6,6,6,1,6,6,6,6,5,6,6,1,5,5,6,5,5,6,6,6,4,,,,4,3,,,,3,5,,,,5,4,4,3,3,3,1,3,4,3,4,3,3,3,2,2,4,2,3,3,3,2,4
2,2,18,1,5,3,2,3,2,2,1,2,5,5,3,5,4,4,2,5,5,5,4,5,3,5,3,1,,1,,,3,,3,,,5,,5,,,1,1,6,4,3,6,3,2,6,2,2,3,6,6,,,5,3,3,3,5,5
4,4,20,2,5,6,6,5,4,5,1,6,6,5,2,4,6,5,3,4,3,6,6,6,6,5,4,4,,,,4,4,,,,4,5,,,,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,6,5,5,5,4,6
5,2,18,2,6,6,6,2,6,6,1,6,3,4,1,5,6,6,2,6,6,6,3,6,5,4,4,1,,1,,,5,,5,,,5,,5,,,6,6,3,6,6,1,6,6,5,5,6,6,6,4,6,6,6,4,6,5,5,6
6,2,19,2,5,6,6,5,4,5,1,4,4,6,3,1,5,5,6,6,4,6,6,5,5,5,3,4,,4,,,4,,4,,,5,,5,,,6,6,2,2,2,1,6,5,2,1,1,5,6,1,2,2,5,4,2,2,3,3
8,1,19,2,5,4,4,1,3,1,1,4,3,3,2,4,5,6,1,3,1,6,5,4,1,1,1,1,1,,,,3,3,,,,5,5,,,,3,3,5,5,5,2,3,3,4,4,4,3,3,5,5,5,3,5,4,6,5,5
9,1,31,2,5,6,6,3,5,4,1,4,4,4,4,5,5,5,2,4,4,5,5,3,2,4,3,,,,,,5,5,,,,5,5,,,,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,6,4,6,4,5,6
10,3,23,1,6,4,5,4,3,5,1,3,4,2,2,2,6,6,2,6,4,6,6,6,3,2,4,1,,,1,,5,,,5,,5,,,5,,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6
11,1,19,1,5,5,5,2,4,2,3,5,4,6,2,4,4,3,6,4,1,4,2,4,4,4,1,1,1,,,,1,1,,,,5,5,,,,4,3,5,5,5,2,2,5,6,3,2,2,2,6,5,4,4,2,5,4,5,5
12,4,18,2,5,5,5,3,3,1,1,4,4,4,3,4,4,6,1,2,3,3,4,3,2,1,3,4,,,,4,2,,,,2,5,,,,5,5,5,2,2,2,1,4,4,4,3,3,5,6,2,2,2,3,4,4,4,2,3
